raceId,totalDNFs
421,15
422,17
423,16
424,8
425,12
426,12
427,15
428,14
429,16
430,13
431,16
432,14
433,15
434,13
435,8
436,14
437,8
438,12
439,16
440,11
441,13
442,16
443,15
444,19
445,12
446,9
447,10
448,12
449,10
450,17
451,11
452,16
453,16
454,7
455,16
456,10
457,12
458,17
459,10
460,7
461,7
462,13
463,10
464,13
465,14
466,11
467,9
468,15
469,11
470,12
471,11
472,10
473,16
474,15
475,12
476,14
477,14
478,13
479,10
480,15
481,11
482,16
483,15
484,18
485,12
486,12
487,13
488,18
489,13
490,6
491,7
492,11
493,13
494,9
495,9
496,12
497,10
498,15
499,15
500,13
501,14
502,13
503,12
504,14
505,16
506,14
507,14
508,12
509,13
510,9
511,13
512,10
513,8
514,9
515,15
516,6
517,13
518,13
519,16
520,14
521,12
522,14
523,11
524,15
525,9
526,10
527,15
528,8
529,15
530,12
531,11
532,13
533,19
534,13
535,14
536,16
537,10
538,11
539,7
540,9
541,10
542,9
543,14
544,10
545,12
546,10
547,9
548,9
549,14
550,15
551,12
552,13
553,15
554,10
555,15
556,9
557,18
558,12
559,12
560,16
561,9
562,7
563,13
564,14
565,15
566,14
567,10
568,10
569,13
570,15
571,7
572,12
573,15
574,11
575,10
576,12
577,7
578,9
579,7
580,11
581,14
582,8
583,10
584,12
585,5
586,10
587,14
588,13
589,14
590,8
591,9
592,6
593,10
594,9
595,10
596,4
597,6
598,11
599,3
600,12
601,10
602,12
603,7
604,11
605,10
606,11
607,11
608,9
609,6
610,8
611,7
612,12
613,7
614,5
615,13
616,10
617,7
618,11
619,5
620,9
621,12
622,5
623,13
624,10
625,5
626,5
627,10
628,9
629,5
630,9
631,13
632,12
633,11
634,13
635,9
636,11
637,10
638,5
639,7
640,11
641,5
642,6
643,11
644,12
645,10
646,8
647,12
648,9
649,7
650,5
651,5
652,9
653,11
654,6
655,7
656,10
657,10
658,6
659,5
660,10
661,10
662,7
663,9
664,8
665,8
666,11
667,10
668,6
669,10
670,12
671,11
672,7
673,4
674,5
675,12
676,10
677,9
678,9
679,7
680,5
681,12
682,9
683,9
684,10
685,7
686,10
687,10
688,7
689,6
690,9
691,7
692,12
693,4
694,8
695,7
696,4
697,8
698,7
699,6
700,10
701,5
702,8
703,6
704,6
705,9
706,5
707,4
708,3
709,7
710,7
711,7
712,9
713,4
714,5
715,4
716,3
717,4
718,7
719,10
720,5
721,6
722,10
723,2
724,4
725,3
726,5
727,9
728,5
729,4
730,4
731,3
732,3
733,7
734,6
735,5
736,5
737,4
738,2
739,8
740,0
741,5
742,1
743,1
744,5
745,5
746,0
747,5
748,4
749,2
750,4
751,4
752,8
753,9
754,6
755,9
756,5
757,5
758,4
759,7
760,13
761,6
762,6
763,8
764,6
765,5
766,5
767,4
768,5
769,5
770,4
771,6
772,8
773,3
774,8
775,5
776,5
777,6
778,9
779,4
780,1
781,2
782,5
783,7
784,5
785,8
786,13
787,5
788,3
789,9
790,3
791,6
792,7
793,1
794,7
795,3
796,2
797,3
798,2
799,1
800,5
801,5
802,3
803,2
804,4
805,2
806,3
807,1
808,6
809,5
810,2
811,2
812,2
813,3
814,2
815,6
816,4
817,6
818,2
819,6
820,2
821,7
822,9
823,5
824,6
825,4
826,9
827,4
828,5
829,3
830,4
831,5
832,5
833,4
834,4
835,8
836,6
837,9
838,1
839,3
840,5
841,7
842,1
843,1
844,3
845,5
846,6
847,0
848,5
849,4
850,4
851,5
852,8
853,3
854,1
855,3
856,5
857,4
858,4
859,6
860,2
861,1
862,2
863,5
864,8
865,4
866,4
867,2
868,1
869,2
870,6
871,2
872,5
873,5
874,4
875,2
876,7
877,2
878,5
879,3
880,4
881,4
882,1
883,3
884,6
885,2
886,2
887,3
888,3
889,3
890,2
891,2
892,2
893,3
894,3
895,1
896,1
897,3
898,7
899,6
900,5
901,2
902,2
903,7
904,8
905,3
906,5
907,4
908,6
909,4
910,2
911,4
912,1
913,2
914,3
915,1
916,3
917,4
918,4
919,3
920,2
921,2
922,3
923,3
924,6
925,6
926,4
927,3
928,2
929,5
930,0
931,5
932,8
933,4
934,1
935,1
936,5
937,3
938,0
939,4
940,5
941,7
942,3
943,4
944,2
945,5
946,1
947,2
948,5
949,4
950,3
951,6
952,0
953,4
954,1
955,5
956,5
957,7
958,5
959,5
960,3
961,4
962,5
963,4
964,6
965,4
966,2
967,3
968,3
969,2
970,8
971,1
972,5
973,4
974,5
975,4
976,2
977,5
978,3
979,0
980,6
981,6
982,1
983,3
984,3
985,5
986,5
987,4
988,3
989,5
990,3
991,1
