raceId,totalDNFs,circuitId,countryId,rain,topTenDiversity,driverExpWeightedSum,pitsWeightedSum,preRaceALPCWeightedSum,TCCAPE,clusterMeanWeightedSum,gapWeightedSum
421,15.0,jacarepagua,brazil,none,6.0,0.8010954885486419,,,0.0,,0.1141613488410093
422,17.0,jerez,spain,none,5.0,0.7688237538668703,,,12.5,,0.1411230307192906
423,16.0,imola,italy,heavy,6.0,0.7408569184221965,,,25.0,,0.0281832416522095
424,8.0,monaco,monaco,none,9.0,0.7085808894728803,,,37.5,,0.037541612538645
425,12.0,spa-francorchamps,belgium,none,7.0,0.6888270104217166,,,50.0,,-0.0596192169280946
426,12.0,montreal,canada,none,6.0,0.6371650807308123,,,62.5,,0.1066396834993902
427,15.0,detroit,united-states-of-america,light,7.0,0.6008937553053576,,,75.0,,0.0878857846943422
428,14.0,paul-ricard,france,light,6.0,0.5645012226607622,,,87.5,,-0.0712198384842852
429,16.0,brands-hatch,united-kingdom,light,6.0,0.5322251937114459,,,100.0,,0.1112963057860636
430,13.0,hockenheimring,germany,none,7.0,0.4925045918733907,,,112.5,,-0.0253361038574614
431,16.0,hungaroring,hungary,none,6.0,0.4602285629240744,,,125.0,,0.0624839549427393
432,14.0,spielberg,austria,light,6.0,0.4279525339747579,,,137.5,,-0.0234440166002808
433,15.0,monza,italy,none,6.0,0.4178337097540379,,,150.0,,-0.0503491736027947
434,13.0,estoril,portugal,light,7.0,0.3795567813647851,,,162.5,,0.0951084703232705
435,8.0,mexico-city,mexico,none,7.0,0.3323699619590374,,0.0103597690217391,175.0,-0.3423178088405798,0.0072296513274945
436,14.0,adelaide,australia,light,7.0,0.3000939330097211,,0.0159983908307689,187.5,-0.2814177614769231,0.1331491039933407
437,8.0,jacarepagua,brazil,none,6.0,0.7303467153412693,,,0.0,,0.1413765705169957
438,12.0,imola,italy,light,7.0,0.7039289696228128,,,12.5,,0.0402388720733923
439,16.0,spa-francorchamps,belgium,none,6.0,0.6848236123898319,,,25.0,,0.0413943006856867
440,11.0,monaco,monaco,light,7.0,0.6525475834405157,,,37.5,,0.1652514143055184
441,13.0,detroit,united-states-of-america,heavy,7.0,0.6202715544911994,,,50.5,,0.1722167125110528
442,16.0,paul-ricard,france,moderate,6.0,0.587995525541883,,,63.0,,0.0207648324883116
443,15.0,silverstone,united-kingdom,light,6.0,0.5557194965925669,,,75.5,,-0.010841052685021
444,19.0,hockenheimring,germany,light,6.0,0.5234434676432504,,,88.0,,0.0516993720950883
445,12.0,hungaroring,hungary,light,7.0,0.4911674386939341,,,101.0,,0.1403278764505209
446,9.0,spielberg,austria,none,6.0,0.4588914097446179,,,113.5,,0.1561822937144249
447,10.0,monza,italy,moderate,6.0,0.4219636753812148,,,126.0,,0.1122043591211842
448,12.0,estoril,portugal,heavy,6.0,0.391923380272436,,,138.5,,0.0797267539154733
449,10.0,jerez,spain,light,6.0,0.3585528302998488,,,151.0,,0.1354633211487967
450,17.0,mexico-city,mexico,none,6.0,0.3309615239862686,,,164.0,,-0.0483318595819975
451,11.0,suzuka,japan,none,6.0,0.3328868909215359,,,176.5,,0.1244487893117988
452,16.0,adelaide,australia,none,6.0,0.2990115128281042,,,189.0,,0.0386703401970308
453,16.0,jacarepagua,brazil,moderate,6.0,0.7088305065376928,,0.0148398313846151,0.0,-0.1933603120615384,0.1250179000806235
454,7.0,imola,italy,none,7.0,0.6765371619934382,,0.0199622047076921,12.5,-0.2781000596307693,0.280147470004999
455,16.0,monaco,monaco,moderate,6.0,0.6442438174491838,,0.0222597470769221,25.0,-0.9955785034153848,0.2846152789416455
456,10.0,mexico-city,mexico,light,6.0,0.6119504729049292,,0.0131996619076924,37.5,-0.2996197456307692,0.290520725131197
457,12.0,montreal,canada,none,7.0,0.5796571283606747,,0.0160049163384612,50.0,-0.6334420125538462,0.1584247137823792
458,17.0,detroit,united-states-of-america,none,6.0,0.5677539313916126,,0.0149377139999995,62.5,-0.4786123893538462,0.1472060144703553
