raceId,circuitId,countryId,rain
421,jacarepagua,brazil,none
422,jerez,spain,none
423,imola,italy,heavy
424,monaco,monaco,none
425,spa-francorchamps,belgium,none
426,montreal,canada,none
427,detroit,united-states-of-america,light
428,paul-ricard,france,light
429,brands-hatch,united-kingdom,light
430,hockenheimring,germany,none
431,hungaroring,hungary,none
432,spielberg,austria,light
433,monza,italy,none
434,estoril,portugal,light
435,mexico-city,mexico,none
436,adelaide,australia,light
437,jacarepagua,brazil,none
438,imola,italy,light
439,spa-francorchamps,belgium,none
440,monaco,monaco,light
441,detroit,united-states-of-america,heavy
442,paul-ricard,france,moderate
443,silverstone,united-kingdom,light
444,hockenheimring,germany,light
445,hungaroring,hungary,light
446,spielberg,austria,none
447,monza,italy,moderate
448,estoril,portugal,heavy
449,jerez,spain,light
450,mexico-city,mexico,none
451,suzuka,japan,none
452,adelaide,australia,none
453,jacarepagua,brazil,moderate
454,imola,italy,none
455,monaco,monaco,moderate
456,mexico-city,mexico,light
457,montreal,canada,none
458,detroit,united-states-of-america,none
459,paul-ricard,france,light
460,silverstone,united-kingdom,moderate
461,hockenheimring,germany,light
462,hungaroring,hungary,none
463,spa-francorchamps,belgium,moderate
464,monza,italy,none
465,estoril,portugal,none
466,jerez,spain,none
467,suzuka,japan,none
468,adelaide,australia,moderate
469,jacarepagua,brazil,none
470,imola,italy,none
471,monaco,monaco,none
472,mexico-city,mexico,none
473,phoenix,united-states-of-america,none
474,montreal,canada,moderate
475,paul-ricard,france,none
476,silverstone,united-kingdom,none
477,hockenheimring,germany,light
478,hungaroring,hungary,light
479,spa-francorchamps,belgium,heavy
480,monza,italy,none
481,estoril,portugal,none
482,jerez,spain,light
483,suzuka,japan,moderate
484,adelaide,australia,heavy
485,phoenix,united-states-of-america,light
486,interlagos,brazil,none
487,imola,italy,none
488,monaco,monaco,heavy
489,montreal,canada,heavy
490,mexico-city,mexico,heavy
491,paul-ricard,france,none
492,silverstone,united-kingdom,light
493,hockenheimring,germany,light
494,hungaroring,hungary,none
495,spa-francorchamps,belgium,none
496,monza,italy,none
497,estoril,portugal,light
498,jerez,spain,light
499,suzuka,japan,none
500,adelaide,australia,none
501,phoenix,united-states-of-america,none
502,interlagos,brazil,moderate
503,imola,italy,moderate
504,monaco,monaco,light
505,montreal,canada,none
506,mexico-city,mexico,moderate
507,magny-cours,france,moderate
508,silverstone,united-kingdom,none
509,hockenheimring,germany,none
510,hungaroring,hungary,none
511,spa-francorchamps,belgium,none
512,monza,italy,moderate
513,estoril,portugal,none
514,catalunya,spain,moderate
515,suzuka,japan,none
516,adelaide,australia,heavy
517,kyalami,south-africa,none
518,mexico-city,mexico,none
519,interlagos,brazil,none
520,catalunya,spain,light
521,imola,italy,none
522,monaco,monaco,none
523,montreal,canada,light
524,magny-cours,france,moderate
525,silverstone,united-kingdom,light
526,hockenheimring,germany,none
527,hungaroring,hungary,light
528,spa-francorchamps,belgium,moderate
529,monza,italy,none
530,estoril,portugal,light
531,suzuka,japan,none
532,adelaide,australia,heavy
533,kyalami,south-africa,light
534,interlagos,brazil,heavy
535,donington,united-kingdom,moderate
536,imola,italy,light
537,catalunya,spain,none
538,monaco,monaco,none
539,montreal,canada,none
540,magny-cours,france,none
541,silverstone,united-kingdom,heavy
542,hockenheimring,germany,light
543,hungaroring,hungary,none
544,spa-francorchamps,belgium,none
545,monza,italy,none
546,estoril,portugal,none
547,suzuka,japan,none
548,adelaide,australia,light
549,interlagos,brazil,moderate
550,aida,japan,none
551,imola,italy,light
552,monaco,monaco,none
553,catalunya,spain,none
554,montreal,canada,heavy
555,magny-cours,france,light
556,silverstone,united-kingdom,none
557,hockenheimring,germany,none
558,hungaroring,hungary,moderate
559,spa-francorchamps,belgium,moderate
560,monza,italy,none
561,estoril,portugal,light
562,jerez,spain,none
563,suzuka,japan,heavy
564,adelaide,australia,none
565,interlagos,brazil,light
566,buenos-aires,argentina,heavy
567,imola,italy,moderate
568,catalunya,spain,none
569,monaco,monaco,none
570,montreal,canada,moderate
571,magny-cours,france,moderate
572,silverstone,united-kingdom,light
573,hockenheimring,germany,none
574,hungaroring,hungary,none
575,spa-francorchamps,belgium,moderate
576,monza,italy,light
577,estoril,portugal,none
578,nurburgring,germany,light
579,aida,japan,none
580,suzuka,japan,heavy
581,adelaide,australia,none
582,melbourne,australia,none
583,interlagos,brazil,moderate
584,buenos-aires,argentina,none
585,nurburgring,germany,light
586,imola,italy,none
587,monaco,monaco,heavy
588,catalunya,spain,heavy
589,montreal,canada,none
590,magny-cours,france,none
591,silverstone,united-kingdom,light
592,hockenheimring,germany,light
593,hungaroring,hungary,none
594,spa-francorchamps,belgium,light
595,monza,italy,none
596,estoril,portugal,none
597,suzuka,japan,heavy
598,melbourne,australia,none
599,interlagos,brazil,light
600,buenos-aires,argentina,none
601,imola,italy,heavy
602,monaco,monaco,moderate
603,catalunya,spain,light
604,montreal,canada,none
605,magny-cours,france,heavy
606,silverstone,united-kingdom,light
607,hockenheimring,germany,light
608,hungaroring,hungary,none
609,spa-francorchamps,belgium,light
